ad_iD,Collector name,Shop name,Ad name,Description,Pic,Brand,Model,Price,Type/Year,Suuq,Negotiable,state,Contact
514,Faysal,79 Shaybe motors,Corolla ,corolla waa gaadhi aad u raaxo badan ,https://drive.google.com/file/d/1517atF1ZNAM2IvLhyzo5IHnQitIzP7bD/view?usp=drivesdk,TOYOTA ,Corolla ,"$5,900",2006,Cars,TRUE ,Hargeisa,
515,Faysal,79 Shaybe motors,Herrier,Herrier waa gaadhi aad u qurux badan ,https://drive.google.com/file/d/15BHn-yqe5ogx9nFD--4bPgsmI2zNjP4I/view?usp=drivesdk,TOYOTA ,Herrier ,"$12,500",2010,Personal Accessories,TRUE ,Hargeisa,
516,Faysal,79 Shaybe motors,Balta,Balta waa gaadhi aad u nafisa oo aad u qurux badan ,https://drive.google.com/file/d/14xIMOG0wuPWeiZ9lq5vm9RuY6YNe3A_O/view?usp=drivesdk,TOYOTA ,Balta,"$4,800",2007,Cars,TRUE ,Hargeisa,
517,Faysal,80 Taaj silver and jewellry,qalabka dahab ,qalabka dahabka lagu baadho ,https://drive.google.com/file/d/12A2zEqw5DZlcjophBxtXIUL-xyEeXFJ5/view?usp=drivesdk,Taaj,baadhe dahabka ,$400,,Devices,TRUE ,Hargeisa,call;063;4812907
518,Faysal,80 Taaj silver and jewellry,dahab ,ka habkii oo kala duwan ,https://drive.google.com/file/d/129i6VWpGngV_lGSDi6X6UK8qp98xT-So/view?usp=drivesdk,Taaj,dahab ,$35,,Real-state,TRUE ,Hargeisa,call;063;4812907
519,Faysal,81 Target Style online Shopping,Shaadhadh Rag,waa shaadhadhkii raga oo kala duwan ,https://drive.google.com/file/d/1JGEcgWd7S-6IIGFTsLxk3Mi59RxO-70I/view?usp=drivesdk,shaadhadh,Shaadhadhkii raga ,$13,,,TRUE ,Hargeisa,Call:063:4244711
520,Faysal,81 Target Style online Shopping,Goshaal,waa Goshaalkii raga oo aad u qurux badan ,https://drive.google.com/file/d/1J5XGx1E9NoKW6aJT4BvGrXuWyRTYfpbA/view?usp=drivesdk,Goshaal,Goshaaladii raga,$18,,,TRUE ,Hargeisa,Call:063:4244711
521,Faysal,81 Target Style online Shopping,Sandalo,waa sandaladii raga oo kala duwan ,https://drive.google.com/file/d/1J1uXXauB_8XEBJapLzR775LKgmChAyKp/view?usp=drivesdk,Sandal,sandaladii raga,$45,,,TRUE ,Hargeisa,Call:063:4244711
522,Faysal,82 Arabsiyo Eletonic,Koofiyad Dumar,koofiyadihii dumarka oo kala duwan ,https://drive.google.com/file/d/16ZJ2ebGSi3vVxoNz05lz33VUnFuPeU9A/view?usp=drivesdk,koofiyad ,koofiyad dumar ,$5,,Real-state,TRUE ,Hargeisa,Call;0634257582
523,Faysal,82 Arabsiyo Eletonic,buraashad ,waxa aad ku shuban kartaa biyaha meel kastana wad u qaadankartaa ,https://drive.google.com/file/d/16WyLOXR6g8uKFHKW9xiXnRe40d61rgvp/view?usp=drivesdk,skip,biyo qaado,$6,,Personal Accessories,TRUE ,Hargeisa,Call;0634257582
524,Faysal,82 Arabsiyo Eletonic,Koofiyadii raga ,koofiyado aad u qurux badan oo tayo leh ,https://drive.google.com/file/d/16ZlwfrmGJBw1jiwRsGZX3qIXV0koQ85T/view?usp=drivesdk,Guca ,koofiyad rag,$4,,Personal Accessories,TRUE ,Hargeisa,Call;0634257582
525,Faysal,83 Shide fashion ,toobabka hablaha ,toobabka hablaha yar yar,https://drive.google.com/file/d/16n3NhW_FqU8pC0JEWIIp5-ISwR6C8emZ/view?usp=drivesdk,toob hablo yaryar ,toob ,$25,,Personal Accessories,TRUE ,Hargeisa,Call;063;4052092
