ad_iD,Collector name,Shop Name,Ad name,Description,Pic,Brand,Model,Price,Type/Year,Suuq,Negotiable,state,Contact,File_name
29,Jaamac,7-Al madiina ,notebook iib,Notebook iib 40$,https://drive.google.com/file/d/1F1BPiu-H6_FGWE6o2r2ND6cv2qSBoo8m/view?usp=drivesdk,Samsung ,coolar,40$,,Devices,TRUE,Hargeisa,Call:0634776310  ,00ae8d22-dc7f-48c4-a04d-ef97f8b9e6ec.JPG
30,Jaamac,7-Al madiina ,game ps4 iib,Game ps4 iib 140$,https://drive.google.com/file/d/1-6FXEfP6V_HIxkabrtyzHgeEvcYhXIrJ/view?usp=drivesdk,Sony Computer Entertainment,Game ,140$,,Devices,TRUE,Hargeisa,Call:0634776310  ,48d4dc86-87d0-4d19-9f10-1239caf05b08.JPG
31,Jaamac,7-Al madiina ,maqaskii timaha iib,Maqaskii timaha iib 15$,https://drive.google.com/file/d/1OchKNA6sCBysAdVtZZ_TD3M4-wdAFb4k/view?usp=drivesdk,PROGEMEI,sh-8088,15$,,Devices,TRUE,Hargeisa,Call:0634776310  ,54252be2-21db-4e58-838e-da5392500ce5.JPG
32,Jaamac,7-Al madiina ,Samsung galaxy A12 iib,Samsung galaxy A12 iib 130$,https://drive.google.com/file/d/1zwW_R-Vf5A4E8VP2f-FSf9R65hXukTbU/view?usp=drivesdk,Samsung ,Samsung galaxy A12,130$,,Devices,TRUE,Hargeisa,Call:0634776310  ,250b3849-e5db-4dae-b50e-6fd58ecc515b.JPG
33,Jaamac,8-Camir electronics ,SAYONA Koobkii shiidka bunka iib,Grander,https://drive.google.com/file/d/1hbsagYoVsA4CjEhQ3MlsrA_KNXIEap3L/view?usp=drivesdk,SAYONA,SZJ-831,23$,,Devices,TRUE,Hargeisa,  Call:0634476888,cce5ad38-2e3f-47fe-8db9-bd30d56c0070.JPG
34,Jaamac,8-Caamir electronics ,Hand mixer with rotating bowl,Koobkii daqiiqad iib 25$,https://drive.google.com/file/d/1ZXSeVBL4ZnCoz6DQRbhK5l65ZT-HkdTD/view?usp=drivesdk,SAYONA PPS,SHM-4358,25$,,Devices,TRUE,Hargeisa,  Call:0634476888,719a41da-8d0b-4133-a7cf-f281002c8b57.JPG
35,Jaamac,9-Gawlax perfume ,cadar iib,Cadar iib 12$,https://drive.google.com/file/d/1oyHEmxX1-dI1iapG_JhkSzA-F-bjBdXr/view?usp=drivesdk,OSSUM,ossum 2020 ,12$,,Personal Accessories,TRUE,Hargeisa,Call:0633398134  ,e4ce5475-a00f-44be-9ecf-311156cf9547.JPG
36,Jaamac,9-Gawlax perfume ,fogg scent dazzle,Cadar iib 15$,https://drive.google.com/file/d/1ZuT48Of9oyaEa6HehhvE7MRhBYux3zk2/view?usp=drivesdk,FOGG,Cadar,15$,,Personal Accessories,TRUE,Hargeisa,Call:0633398134  ,79d9bdf5-2a66-4321-8295-9d891d51f3db.JPG
37,Jaamac,9-Gawlax perfume ,cream 21,kriimka looshinka jidhka ee maqaarka qalalan,https://drive.google.com/file/d/1kEoiW5NeZ28a1PGnRC9cI6gqWKLuNuvD/view?usp=drivesdk,Cream 21,Kiriimkii jidhka ,8$,,Personal Accessories,TRUE,Hargeisa,Call:0633398134  ,0855bf71-d6d1-46e6-bb19-fa6b2d10d783.JPG
38,Jaamac,9-Gawlax perfume ,mixa eclat,Kiriim jidh iib 10$,https://drive.google.com/file/d/1naTyrA2IVJ77faLdZJ0m4dIIqx_j7v4y/view?usp=drivesdk,MIXA ECLAT,Kiriimkii jidhka ,10$,,Personal Accessories,TRUE,Hargeisa,Call:0633398134  ,b27da9a9-cf17-4f97-b347-0a5ee6930bca.JPG
