ad_iD,Collector name,Shop Name,Ad name,Description,Pic,Brand,Model,Price,Type/Year,Suuq,Negotiable,state,Contact,File_name
93,Faysal,9 NASRI Fashion,shalmadihii dumarka ,shalmadihii dumarka oo qurux badan iib ,https://drive.google.com/file/d/1LPlYp1yay5QgV58pJKxz44OCReRra2sP/view?usp=drivesdk,shalmad,shalmad,$20,,Devices,TRUE,Hagreisa,Call-063:4769046,Nasri 3.jpg
94,Faysal,10 Amiin Electric,GEEMY High technology,cagafta qoordiidka ee GEEMY,https://drive.google.com/file/d/1GpM6nzPj3bzFc05kjgNLE0NwpVcb5cOE/view?usp=drivesdk,gemei,GM-886,$22,,Devices,TRUE,Hagreisa,Call-063:4020014,Aamiin 5.jpg
95,Faysal,10 Amiin Electric,Black  hair shanpoo ,shanpoo iyo madaw wayso isu jira ,https://drive.google.com/file/d/1GxABAJ-O4rOG6zyoEmQGjpCWJ9W4ZYj8/view?usp=drivesdk,Dexe Magic Black,SG_B013YPGSVW_US,$4,,Devices,TRUE,Hagreisa,Call-063:4020014,Aamiin  3.jpg
96,Faysal,10 Amiin Electric,Face wash Coffee ,Face wash oo laga sameeyey Coffe,https://drive.google.com/file/d/1M6WUDgYYUkyPnV7_OMILcpmNNFF28ZA4/view?usp=drivesdk,shiny face,coffe face wash,$1,,Devices,TRUE,Hagreisa,Call-063:4020014,Aamiin 1.jpg
97,Faysal,10 Amiin Electric,Olive OIL ,Saliida udgoon oo cusub Olive Oil ,https://drive.google.com/file/d/1H2K3n5ibUhETp6CH73aOVadofkJU_7D3/view?usp=drivesdk,ORS,ORS 472,$4,,Devices,TRUE,Hagreisa,Call-063:4020014,Aamiin 2.jpg
98,Faysal,10 Amiin Electric,Mp3 gaadhi,Mp3 gaadhi lagu dhagaysto,https://drive.google.com/file/d/1N0F_io9mVRbTtoiJb4bXeK-Wd15ntBVk/view?usp=drivesdk,unbranded,unbranded,$7,,Devices,TRUE,Hagreisa,Call-063:4020014,Aamiin 3.jpg
99,Faysal,11 Tafay Electric,burushka gadhka lagu xiiro,burushka gadhka lagu xiiro oo cusub iib ,https://drive.google.com/file/d/1Grx45s--SO6u5CV2cZSf2rGgtwWrcJ1o/view?usp=drivesdk,shaving brash,shaving brash,$3,,Personal Accessories,TRUE,Hagreisa,Call:063:4016885,Tafay 3.jpg
100,Faysal,11 Tafay Electric,ilka cagafta ,ilka cagafta oo cusub iib ,https://drive.google.com/file/d/1MJeDJTX16GYP6ZYrjEOYo6b0xMb6Yf73/view?usp=drivesdk,premium smooth cut blade WAHL USA,wahl 1045,$5,,Devices,TRUE,Hagreisa,Call:063:4016885,Tafay 4.jpg
101,Faysal,11 Tafay Electric,dirayska shaqaalaha timojaraha ,dirayska shaqaalaha timojaraha oo cusub ,https://drive.google.com/file/d/1MDBxoYIfxMWLrLGh3ldXsEyfzOaBFq9D/view?usp=drivesdk,SCALPMASTER BARBER NECK DUSTER ,DU-ND-7,$3,,Devices,TRUE,Hagreisa,Call:063:4016885,Tafay.jpg
102,Faysal,11 Tafay Electric,Diraska loo xidho qofka timaha laga jarayo,Dirayska loo xidho qofka timaha laga jarayo iib ,https://drive.google.com/file/d/1H8_WOhXIJhohRDBxTbAxE5QtuHrUMfRz/view?usp=drivesdk,Dirayska loo xidho qofka timaha laga jarayo iib ,Dirayska loo xidho qofka timaha laga jarayo iib ,$5,,Devices,TRUE,Hagreisa,Call:063:4016885,Tafay 1.jpg
103,Faysal,11 Tafay Electric,Ring fill light ,Ring fill light  oo cusub iib ah ,https://drive.google.com/file/d/1N4aSlU5I4P0MabXvzpeenXbbjjXu2UJU/view?usp=drivesdk,unbranded,unbranded,$28,,Devices,TRUE,Hagreisa,Call:063:4016885,Tafay 5.jpg
104,Jaamac,13-LUFTI ONLINE,Green mask,waa maskiga wajiga hargaha kaqadayay,https://drive.google.com/file/d/1nUwg4-3NvvGKhn7Uf1KT2tIgTHLVRrU7/view?usp=drivesdk,Hualijia,Hualijia,$13,,Personal Accessories,TRUE,Hagreisa,coll--0633003042,1fc9aaf3-fe42-49f2-ad2b-93c7dfcbba48.JPG
105,Jaamac,13-LUFTI ONLINE,burashada biyaha,burashada vbiyaha kedinaysa oo sifeenyasay ,https://drive.google.com/file/d/1Cp6skgCiSQC-GnlD7ukEjnqxJtjp8ReF/view?usp=drivesdk,PORODO,PORODO,$12,,Personal Accessories,TRUE,Hagreisa,coll--0633003042,f1dee211-e1e3-400e-8d13-dcd9e7fa5fe0.JPG
106,Jaamac,13-LUFTI ONLINE,kamirada sawirka,kamirada waa mid tayaleh oo ah LUMIX ,https://drive.google.com/file/d/1n8KUKPsYsYaqWOoQpjDhmN-jRPGsEToX/view?usp=drivesdk,LUMIX,FZ81,$507,,Devices,TRUE,Hagreisa,coll--0633003042,296af1cc-b123-4774-8398-03db75f95b90.JPG
107,Jaamac,13-LUFTI ONLINE,erafonaha dhagaha,ERAFOONADA WAAD MID BULUTUT KU SHEQEEnaysa oo tayo leh,https://drive.google.com/file/d/1t_FZ42MfwlWtsvHXtQ5YaoHTfTfjYZ03/view?usp=drivesdk,BEATS,BEATS,$19,,Devices,TRUE,Hagreisa,coll--0633003042,10108783-149b-433b-86b3-513702692c22.JPG
108,Jaamac,13-LUFTI ONLINE,wired mouse,waa fudediyaha kombiyutarka,https://drive.google.com/file/d/1qTyrn5Z6hSbdx61FwB0o8hHgV098GF1x/view?usp=drivesdk,WIRED MOUSE,WIRED MOUSE,$15,,Devices,TRUE,Hagreisa,coll--0633003042,7d12f9f6-4279-48aa-811b-1ed2b0267429.JPG
109,Jaamac,14-hargeisa suti house,suudh quruxbadan,waa suudh an facle oo qurxaan oo madaw iyo buluug isku jira ah ,https://drive.google.com/file/d/1603qRnBbzFUOtzxDq_fLvDJrglZZdS2Y/view?usp=drivesdk,LV,LV,$88,,Personal Accessories,TRUE,Hagreisa,coll--0634481062,46a0b8fe-b96d-4555-9f5c-0ec3a156cde0.JPG
110,Jaamac,14-hargeisa suti house,qamiis cumaani ah,qamiiskan waa cumaani oo casan ah,https://drive.google.com/file/d/10SqguYb81tVAkL1gHkw2U8_ZADfYnMS_/view?usp=drivesdk,CUMAANI,CUMAANI,$15,,Personal Accessories,TRUE,Hagreisa,coll--0634481062,2afea66c-ec98-4daf-8fe3-42a41e949729.JPG
111,Jaamac,14-hargeisa suti house,suudh qurxoon,suudhkan waa mid cusub oo qurxoon ,https://drive.google.com/file/d/1uALGR7qOlsVuMp0Hv6PgO-M3dtZsKF2h/view?usp=drivesdk,Suit ,Suit ,$85,,Personal Accessories,TRUE,Hagreisa,coll--0634481062,5af2f62a-de64-4fc0-8518-804630216e24.JPG
112,Jaamac,14-hargeisa suti house,qamiis sucudiyaan ,qamiskan waakii raqabada laHAA oo sucudiyaaan ka ah ,https://drive.google.com/file/d/1l0yGgEEsiSt-1qmKIUNcse3JPUbfaadz/view?usp=drivesdk,SUCUDIA,SUCUDIA,$13,,Personal Accessories,TRUE,Hagreisa,coll--0634481062,0c0e403d-d708-4839-8ce3-7b7b7507f0b1.JPG
113,Jaamac,14-hargeisa suti house,kabo sandal ah ,kabahan waa sandal oo cadaana oo adag,https://drive.google.com/file/d/1M9W2rHS5WBg49cKVkLj5mdsErCgvxbib/view?usp=drivesdk,VAEQ,VAEQ,$14,,Personal Accessories,TRUE,Hagreisa,coll--0634481062,0e94910d-d976-4026-9c66-366d9b40dd0f.JPG
114,Jaamac,15-Qurux haween onliln  market,sad macala shandadiisa,waa sad oo midab huruuda oo shandad wadata,https://drive.google.com/file/d/1gaVSTU000SPVsg89Fb5nJsPAWXgFdI53/view?usp=drivesdk,SAD HURUUD AH,SAD HURUUD AH,$95,,Personal Accessories,TRUE,Hagreisa,coll-0634700555,9f4791a3-0ff2-4cb4-b513-25cee2289848.JPG
115,Jaamac,15-Qurux haween onliln  market,dharkii hurdada,waa dhaRKII HURDADA  oo lbuluug ah oo raxabadan,https://drive.google.com/file/d/1SRsGDEloZExhKNeSax49tPbDNxy3tGUr/view?usp=drivesdk,PJAMA,PJAMA,$35,,Personal Accessories,TRUE,Hagreisa,coll-0634700555,458f9180-6d42-46c3-a89b-e63a4efff16b.JPG
116,Jaamac,15-Qurux haween onliln  market,cabaayad quruxbadan,cabayada waa mid cadaan iyo dahabi iskujiraan ah ,https://drive.google.com/file/d/1l_cepH0UGq972pFMEzVcW_7JY8WxAMMt/view?usp=drivesdk,TURKIA,TURKIA,$25,,Personal Accessories,TRUE,Hagreisa,coll-0634700555,30195e12-08b8-4c1f-b9ea-695e152fc677.JPG
117,Jaamac,15-Qurux haween onliln  market,sad dirac ah oo aad u qurxoon,sadka waamid aad u quruxbadan,https://drive.google.com/file/d/1G7PGdCTD4oegx3ssEVDY8PFPgb-ibAVJ/view?usp=drivesdk,DAS CADAAN AH,DAS CADAAN AH,$100,,Personal Accessories,TRUE,Hagreisa,coll-0634700555,67721086-2b41-46e8-91c6-077823ba054e.JPG
118,Jaamac,15-Qurux haween onliln  market,sad dirac ah oo aad u qurxoon,sadka waamid aad u quruxbadan,https://drive.google.com/file/d/1ORGDMzAZKGQklKRYvFFqPvrN72EysnA_/view?usp=drivesdk,SAD CASAAN AH,SAD CASAAN AH,$100,,Personal Accessories,TRUE,Hagreisa,coll-0634700555,a6d19640-4484-4cda-bf4c-a34f54f84470.JPG
119,Jaamac, 16-dalabaad onlin market,tima tidica ,waa kii timaha tidcayay  ,https://drive.google.com/file/d/1SkBN5ujzGyFHQQ3jGueaZ1uTRfnIrcjQ/view?usp=drivesdk,TWIST,TWIST,$11,,Personal Accessories,TRUE,Hagreisa,c0ll--0636845880,026be224-d4e0-40d4-a543-86b0e745a4a8.JPG
120,Jaamac, 16-dalabaad onlin market,Garfeedha timaha,garfeedha waa tii timaha jilcinayay ,https://drive.google.com/file/d/14frDe61Qqpe35Ic8li3LziSDhmrZe_R0/view?usp=drivesdk,GARFEEDHA TIMAHA JILCINAYSAY,GARFEEDHA TIMAHA JILCINAYSAY,$12,,Personal Accessories,TRUE,Hagreisa,c0ll--0636845880,9b63fc04-a4f5-4b8f-8574-1d85a3bd08ba.JPG
121,Jaamac, 16-dalabaad onlin market,maqaska timaha ,maqaska timaha oo aad uqurucbadan,https://drive.google.com/file/d/1wiLQVNENeGMkyNdYyjxr5xcNqSLtsSPY/view?usp=drivesdk,GEEPAS,GEEPAS,$10,,Personal Accessories,TRUE,Hagreisa,c0ll--0636845880,1e25866f-e106-4993-8b7b-14d9c4458580.JPG
122,Jaamac, 16-dalabaad onlin market,suunka caloosha lagu jarayay,suunka waa ki caloosha lagu jarayaayy,https://drive.google.com/file/d/19uXgBzrjW3IJ3zILKjNq_n_1AHQREJ62/view?usp=drivesdk,NET SHAANT,NET SHAANT,$12,,Personal Accessories,TRUE,Hagreisa,c0ll--0636845880,d6026659-39cc-4434-8111-44cf3230dc0f.JPG
123,Jaamac, 16-dalabaad onlin market,uumiyaha timaha,uumiyahan waamid timaha u fiican kaaso qashinka timaha kasaara,https://drive.google.com/file/d/1ZdwhvrrtinfD6PPVS_7hNmUSeQco_Drl/view?usp=drivesdk,UUMIYAHA TIMAHA,UUMIYAHA TIMAHA,$18,,Personal Accessories,TRUE,Hagreisa,c0ll--0636845880,f1d11792-5b83-4991-afe9-f6770d4b638c.JPG
124,Jaamac,17-HAQAB BEEL,kabaha dumarka,waa kabahad dumaka  oo dagan,https://drive.google.com/file/d/1rbkG1NZCy_TTYX9pfRQ7YE-QfLOcbKWj/view?usp=drivesdk,KABO DAGAN OO SIMAN,KABO DAGAN OO SIMAN,$17,,Personal Accessories,TRUE,Hagreisa,coll--0634826537,bd28cf11-abae-495c-af24-5921443d8170.JPG
125,Jaamac,17-HAQAB BEEL,kabo dhaadheer ,waa kabaha dumarka kasoo dhaadheer,https://drive.google.com/file/d/1z8NWOo4d7rcvW-ZxhA1OdNmEhf8MZwbH/view?usp=drivesdk,KABO XARAGO OO DHADHER DUMARKA,KABO XARAGO OO DHADHER DUMARKA,$20,,Personal Accessories,TRUE,Hagreisa,coll--0634826537,fb4da06b-0f0c-4587-8cf4-361130fbd302.JPG
126,Jaamac,17-HAQAB BEEL,funaanad dumar xarago,funaanadan waa mid xarago looxidho iyo mid dhaxantaba,https://drive.google.com/file/d/1dGuqBRcAhLQCtq87ogCJ_sAe-qFtlU5P/view?usp=drivesdk,FUNAANAD MARO  OO DHEER,FUNAANAD MARO  OO DHEER,$16,,Personal Accessories,TRUE,Hagreisa,coll--0634826537,0924d13b-4dbe-490f-b0be-da309e6e5d48.JPG
127,Jaamac,17-HAQAB BEEL,kurdad dumar,waa kurdad qurxaan,https://drive.google.com/file/d/1l_cepH0UGq972pFMEzVcW_7JY8WxAMMt/view?usp=drivesdk,WAA MID MADAW,WAA MID MADAW,$18,,Personal Accessories,TRUE,Hagreisa,coll--0634826537,30195e12-08b8-4c1f-b9ea-695e152fc677.JPG
128,Jaamac,18- AL xariir onlin ,gaadhi INdha cade ,gaadhigan waa mid cadaan ah oo 2004 ah,https://drive.google.com/file/d/1vlHBhjEaY188yX2huNUSi3ZxKChPiDah/view?usp=drivesdk,TOYOTA,2004,$15,2004,Devices,TRUE,Hagreisa,coll--0634141848,3b4a53c8-9540-44da-a7a3-99869423ebb1.JPG
129,Jaamac,18- AL xariir onlin ,gaadhi Hariar oo cusub,gadhigan waa mid aad tayo leh oo 2010,https://drive.google.com/file/d/1lQiQ4Aoo8bInWAFd86MZEBdOOxkf_7oG/view?usp=drivesdk,TOYOTA,2010,"$2,900",2010,Devices,TRUE,Hagreisa,coll--0634141848,8258536c-d2c5-4f8c-a85c-55ee7af0e1b5.JPG
130,Jaamac,18- AL xariir onlin ,dgaadhi NOUH AH ,gadhigan waa mid cad oo 2005 ah,https://drive.google.com/file/d/18KDJ7zGFRrjT_HIugq_F9Ko_ggm9DyFA/view?usp=drivesdk,TOYOTA ,2005,"$9,000",2005,Devices,TRUE,Hagreisa,coll--0634141848,60a3969f-00a1-4252-a2d9-a6efd0ba6ed2.JPG
131,Jaamac,18- AL xariir onlin ,gaadhi vitz oo cusub ,vitz tan waa mid cad oo 2004,https://drive.google.com/file/d/1W6D0Mcc2uV41fsHyfbil0cJvy4yNRkr4/view?usp=drivesdk,TOYOTA,2004,"$4,000",2004,Devices,TRUE,Hagreisa,coll--0634141848,ee74ed6a-7900-4d0e-96d5-ac608ce5cc6a.JPG
132,Jaamac,18- AL xariir onlin , gaadhi one ten ah,gadhiga waamid aad u adag oo 2008,https://drive.google.com/file/d/1A74V4ZTuq89ZqU_o5jJ2Z60ClaOzg8ri/view?usp=drivesdk,TOYOTA,2008,"$5,000",2008,Devices,TRUE,Hagreisa,coll--0634141848,14b99e1c-6034-48a0-9ea0-5413b3ddb831.JPG
133,Jaamac,19- maazim onlin market ,saliida bidaarta,saliida kugu cawinayso inaad timo dagdaga kusosaratso ,https://drive.google.com/file/d/1xpN__31ElZszY3Jx0GfT309UQwcstU4_/view?usp=drivesdk,NEO HAIR LOTION,NEO HAIR LOTION,"$4,800",,Personal Accessories,TRUE,Hagreisa,coll--0634866515,61d9e383-42b2-4b87-9770-32d35e700c05.JPG
134,Jaamac,19- maazim onlin market ,labtop bag,waa shandada labtobka lagu qaato,https://drive.google.com/file/d/10sEXvTrzOijucLSkPh8WYoT2j35Rh0LG/view?usp=drivesdk,LAPTOP BAG,LAPTOP BAG,$30,,Personal Accessories,TRUE,Hagreisa,coll--0634866515,a7ca5691-570b-42ec-9eb6-4697178f8160.JPG
135,Jaamac,19- maazim onlin market ,sandada ciyaarta,waa shandada ciyaarta loqaato,https://drive.google.com/file/d/1pNg3u4XdD8CDye4Kbm4fslWDAu7ao6z2/view?usp=drivesdk,PUMA,PUMA,$17,,Personal Accessories,TRUE,Hagreisa,coll--0634866515,7ae03bd3-c2c4-4988-b2c7-cb22214a58e1.JPG
136,Jaamac,19- maazim onlin market ,funaanada jiimka,funaanadan waa mid la gutalagalay jimmka kaliya in lagu ciyaaro,https://drive.google.com/file/d/1-AmVAcnEqRWzJpfxCj1TSy9-vdfgPhrz/view?usp=drivesdk,SPORT SKIN DRESS,SPORT SKIN DRESS,$12,,Personal Accessories,TRUE,Hagreisa,coll--0634866515,8ca83c1c-2edc-491a-900a-6809f3b679e4.JPG
137,Jaamac,19- maazim onlin market ,cadarka madaxa aad u udgoon,cadarkan waakii madaxx alamarinayay oo aad u udgoon ,https://drive.google.com/file/d/17k8INJKf8HuZCkZlb1ODw4Swrf4C4EQn/view?usp=drivesdk,SALSABEEL PERFUME,SALSABEEL PERFUME,$15,,Personal Accessories,TRUE,Hagreisa,coll--0634866515,69b6599c-387c-423f-9fd2-d19a4e1c29b7.JPG
138,Jaamac,20-mars market,surwaal raga ah,surwaalkan waa mid xarao iyo guri joog ba ah ,https://drive.google.com/file/d/1vXV0PpybKpIn7jSJTvfg30FLrkY8E88o/view?usp=drivesdk,SOFT JIMS,SOFT JIMS,$12,,Personal Accessories,TRUE,Hagreisa,coll --0634468143,b031a1a0-902e-46fe-9868-89ec23abeaf1.JPG
139,Jaamac,20-mars market,kabo jordan ah,kabahan waa mid aad u qurxoo oo jordan ah,https://drive.google.com/file/d/12Mf9s0EggTe97gfLuB_vsoL6j6-QtyLx/view?usp=drivesdk,JORDAN,JORDAN,$13,,Personal Accessories,TRUE,Hagreisa,coll --0634468143,22427fad-72b9-4837-b2f4-edc21fb7bbea.JPG
140,Jaamac,20-mars market,masaxada guriga oo casri ah,waa masaxada guriga oo  lacasiyaya ,https://drive.google.com/file/d/1UluPFyfyJOCEUQe19RMWIicHp-Py2dnP/view?usp=drivesdk,FREGONA,FREGONA,$11,,Personal Accessories,TRUE,Hagreisa,coll --0634468143,cb0da1d3-4167-4a2c-9c37-d3b549e93900.JPG
141,Jaamac,20-mars market,suunkii caloosha lagu dhuubayay,suunki caloosha lagu dhuubayay oo dumaRKA un ah,https://drive.google.com/file/d/1Ui47ef4DOTfNgTYYswCIyGmSRoxdhS6M/view?usp=drivesdk,CXZD,CXZD,$34,,Personal Accessories,TRUE,Hagreisa,coll --0634468143,651f9631-84e8-4c8a-95ef-012ae8080c37.JPG
142,Jaamac,20-mars market,ipega erefono ah,ipega waa erafoonadii waaweyneed ,https://drive.google.com/file/d/1S6U-DjXBAT4cnI2S_xfOnk62ZT8R9PrM/view?usp=drivesdk,CAMOUFLAGE,CAMOUFLAGE,$12,,Personal Accessories,TRUE,Hagreisa,coll --0634468143,2e2e740a-3b68-4391-8378-f05d774c9847.JPG
143,Jaamac,21-nuur cala nuur,koobka sharabka lagu shiido,waa kooka sharaabka ee lagu shiido ,https://drive.google.com/file/d/1cGiLAN-XK8blYNWkOJ5SnIjKDn9ruKbl/view?usp=drivesdk,SUPET TAYO,SUPET TAYO,$22,,Devices,TRUE,Hagreisa,coll-0633334462,82107edf-8fe1-4ebb-8740-98dc504d02bf.JPG
144,Jaamac,21-nuur cala nuur,koobka rashinka lagu shiido,koobka raashinka oolagushiidikaro kaas oo ah mid adag,https://drive.google.com/file/d/1ATQ8VSaRhwmkssFgPpdVA3Hg5ZPXXvhd/view?usp=drivesdk,BOMN,BOMN,$13,,Devices,TRUE,Hagreisa,coll-0633334462,aeea9572-b73e-4846-995c-3176fb7d6380.JPG
145,Jaamac,21-nuur cala nuur,fiish dhaadheer,fiishashka dhaaheer oo 4m ah,https://drive.google.com/file/d/1ldhSCCJqalrQz_iE4yMIpkZYN1dGLiPt/view?usp=drivesdk,AIRSTAR,AIRSTAR,$27,,Personal Accessories,TRUE,Hagreisa,coll-0633334462,854236ea-60e2-4893-8ffd-4269d36b3539.JPG
146,Jaamac,21-nuur cala nuur,miisas iyo kuraas tooda ,misaskii hudheelada oo iyo kuraastooda ,https://drive.google.com/file/d/1HwuTpU-f8odB30Tg0PdLX08dqG7XdlHi/view?usp=drivesdk,MIIS &KURSI,MIIS &KURSI,$30,,Real-state,TRUE,Hagreisa,coll--0633334462,1a33f503-cd25-4d0d-807c-a40b617bfa60.JPG
147,Jaamac,21-nuur cala nuur,shandada dhabarka,sandada dhabarka kaaso anfac ku leh,https://drive.google.com/file/d/14WgJBJsBBihEJxXOmEZog_o3J_MAD3ro/view?usp=drivesdk,SHANDAD,shandad laptop,$8,,Personal Accessories,TRUE,Hagreisa,coll--0633334462,3108409b-73db-4e7e-b3a9-f1cd567881f9.JPG
148,Faysal,12 Nuur al caalam online,compact massager,compact massager oo ah qalabka jirka lagu duugo,https://drive.google.com/file/d/18hr6o9d_qJcWXFhbw44CFvCJHgetXAis/view?usp=drivesdk,cordless massager,cordless massager,$32,,Devices,TRUE,Hargeisa,Call-063:4334395,Nuur Al caalam .jpg
149,Faysal,12 Nuur al caalam online,PS5/825GB ,PS5/825GB oo cusub iib ,https://drive.google.com/file/d/19KwtkceDMXfuVu8dXq3FqbwAXzqDchsF/view?usp=drivesdk,playstation 5,playstation 5,$990,,Devices,TRUE,Hargeisa,Call-063:4334395,Nuur Al caalam.jpg
150,Faysal,12 Nuur al caalam online,Galaxy s9+ 64GB ,Galaxy S9+ 64GB oo cusb ,https://drive.google.com/file/d/19gr4ESutlN1Bt3jAP9Ih32JfwR9eSa4m/view?usp=drivesdk,Samsung ,Galaxsy S9+,$145,,Devices,TRUE,Hargeisa,Call-063:4334395,Nuur AlCaalam.jpg
151,Faysal,12 Nuur al caalam online,Hitachi vacuum cleaner 2000W,qalabka rooga lagu xaadho Hitachi,https://drive.google.com/file/d/1Kpe8FLjFMFtMA70QYo0R2QdZhjYaudV8/view?usp=drivesdk,hitachi vacuum,cv950f 24cbs,$145,,Devices,TRUE,Hargeisa,Call-063:4334395,Nuur AlCaalam 6.jpg
152,Faysal,12 Nuur al caalam online,Galaxy s10 5G ,Galaxy s10 5G / 256GB iib ,https://drive.google.com/file/d/19mepG-7LIe_OZFTjQTtSQhfk7tYMIs0t/view?usp=drivesdk,Samsung ,Galaxsy S10 5G,$180,,Devices,TRUE,Hargeisa,Call-063:4334395,Nuur AlCaalam .jpg
153,Faysal,13 Super Data online ,cleaning wipes ,Nadiifiyaha Electronicska oo cusub  ,https://drive.google.com/file/d/193Tqfv6oZ1m5VS3ONzGhhMdDfBEMAEZv/view?usp=drivesdk,handboss,wibers,$2.50,,Devices,TRUE,Hargeisa,Call-063:4434048,Super data 2.jpg
154,Faysal,13 Super Data online,Original keyboard ,Original keyboard oo cusub iib ,https://drive.google.com/file/d/18gqUVCWhcR9sCUhzIaMxCjr1ZkY0e6q7/view?usp=drivesdk,hp,keybord,$35,,Devices,TRUE,Hargeisa,Call-063:4434048,Super data .jpg
155,Faysal,13 Super Data online,Original iPhone Charger ,original iphone charger oo iib ah ,https://drive.google.com/file/d/18TcvbNgRfyUKHID5C4JmtYYKpXeh8bFl/view?usp=drivesdk,Apple ,Charger,$15,,Devices,TRUE,Hargeisa,Call-063:4434048,Super D.jpg
156,Faysal,13 Super Data online,miis xafiis,miisaska xafiisyada  oo kala duwan ,https://drive.google.com/file/d/1KZ-Tk3i5VCfJZe3yRs5_E223U6uUGTLQ/view?usp=drivesdk,Turkish ,frrniture,"$1,200",,Devices,TRUE,Hargeisa,Call-063:4434048,Super data 5.jpg
157,Faysal,13 Super Data online,kamaradii codka lahayd,karadii codka iyo muuqaalka duubaysay  EZVIZ,https://drive.google.com/file/d/1KfkobYD2m7sEtNLHNZZjz2IpqawQ-T4E/view?usp=drivesdk,China ,EZVIZ ,$85,,Real-state,TRUE,Hargeisa,Call-063:4434048,Super data 5.jpg
158,Faysal,14 Alool ,Alool waa shirkada kiraynta guryaha,Alool waa shirkad kiraysa guryaha ,https://drive.google.com/file/d/1I4r8ur-o7iuO1irnrQ1fj282wwS2-WDH/view?usp=drivesdk,services,services,$250,,Services,TRUE,Hargeisa,call-063:6692337,Alool 1.jpg
159,Faysal,14 Alool ,Nadaafadii ,Nadaafadii oo qiimo ku raaligalinya ,https://drive.google.com/file/d/1KQFqVEmljvy8xjJX4qVRRP8psZ3dx5Uc/view?usp=drivesdk,services,services,$45,,Services,TRUE,Hargeisa,call-063:6692337,Alool5.jpg
160,Faysal,14 Alool ,Raristii guriga,Reerka guuraya oo sifiican loo Rarayo ,https://drive.google.com/file/d/1IHH33KP-roWa7082cfILQOtxBxIi_7WU/view?usp=drivesdk,services,services,$450,,Services,TRUE,Hargeisa,call-063:6692337,Alool.jpg
161,Faysal,14 Alool ,Nootaayadii ,Nootaayadii oo sifo sharci ah loogu shaqaynayo,https://drive.google.com/file/d/1KBvHPpKZIxmUbFvwsGw8WRv3cSgMtbPV/view?usp=drivesdk,services,services,$20,,Services,TRUE,Hargeisa,call-063:6692337,Alool 5.jpg
162,Faysal,14 Alool ,Iibinta Ghulka iyo Guryaha,Iibinta Dhulka iyo Guryaha ,https://drive.google.com/file/d/1HdubhB9DCDG6LCWhHlm6vPIZx-WkH2Jx/view?usp=drivesdk,services,services,"$53,000",,Services,TRUE,Hargeisa,call-063:6692337,Alool 2.jpg
163,Faysal,15Good motors,booyad biyo ,booyadii biyaha oo cusub iib ,https://drive.google.com/file/d/1IGuLbb45V98mDkl_lCNohzup6KI2xcdn/view?usp=drivesdk,NISSAN,Booyed,"$22,000",1996,Cars,TRUE,Hargeisa,call-063:4417558,Goud motors .jpg
164,Faysal,15Good motors,Gaadhi ONE 10 ,Gaadhi ONE 10 Cadaan ,https://drive.google.com/file/d/1HVSOG7kdheVNgLiqJnrLhFOZNY6aSsFW/view?usp=drivesdk,TOYOTA ,one 10 ,"$5,700",2004,Cars,TRUE,Hargeisa,call-063:4417558,Goud 3.jpg
165,Faysal,15Good motors,baska HAICE ,Baska HAICE oo Cusub iib ,https://drive.google.com/file/d/1IH3p7NILtDu3olY7Gld1pqWAc0QhRWjc/view?usp=drivesdk,TOYOTA ,Haice ,"$9,500",2005,Cars,TRUE,Hargeisa,call-063:4417558,Goud 6.jpg
166,Faysal,15Good motors,  Gaadhi Raum,gaadhi Raum  oo cusub iib ,https://drive.google.com/file/d/1HuwmrcIPm2EVqQypB0vhlzLttn5CXlFA/view?usp=drivesdk,TOYOTA ,Raum ,"$5,400",2008,Cars,TRUE,Hargeisa,call-063:4417558,Goud 4.jpg
167,Faysal,15Good motors, Gaadhi Land Cruisser ,Gaadhi Land Cruisser cadaan ah iib ,https://drive.google.com/file/d/1HhLntvIk-sMqRZnp2mSrq7_3Af4APayR/view?usp=drivesdk,TOYOTA ,Land Cruisser ,"$23,000",1997,Cars,TRUE,Hargeisa,call-063:4417558,Goud 2.jpg
168,Faysal,16Xidig motors,Gaadhi NOAH ,Gaadhi NOAH Cadaan iib ,https://drive.google.com/file/d/1HVBN-rTjMnBZkDL89R2dQvmsYh1wQqdl/view?usp=drivesdk,TOYOTA ,Noah ,"$4,800",2004,Cars,TRUE,Hargeisa,call-063:4640332,Xidig moto .jpg
169,Faysal,16Xidig motors,Gaadhi Sienta ,Gaadhi SIENTA Cadaan ,https://drive.google.com/file/d/1JqntHaARjF1-7CHcrOeGv9c1yhKFX3GR/view?usp=drivesdk,TOYOTA ,seinta ,"$5,400",2008,Cars,TRUE,Hargeisa,call-063:4640332,Xidig 6.jpg
170,Faysal,16Xidig motors,Gaadhi PRADO,Gaadhi PRADO ah iib ,https://drive.google.com/file/d/1I8t_a2F35MKJsilSo3xFyTvpJgeRwIcP/view?usp=drivesdk,TOYOTA ,Prado ,"$16,000",2008,Cars,TRUE,Hargeisa,call-063:4640332,Xidig 1.jpg
171,Faysal,16Xidig motors,Gaadhi marki X ,Gaadhi marki X cadaan iib ,https://drive.google.com/file/d/1Hhc7txD00WORWk2I2k1i2Z-yk4D3EbIy/view?usp=drivesdk,TOYOTA ,marki X ,"$4,200",2002,Cars,TRUE,Hargeisa,call-063:4640332,Xidig1.jpg
